candidate_id,rank,score,reasoning
CAND_0072688,1,0.985,Data Scientist with 6.9 yrs; 9 AI core skills; response rate 0.87
CAND_0033445,2,0.979,ML Engineer with 6.8 yrs; 9 AI core skills; response rate 0.94
CAND_0054100,3,0.979,Junior ML Engineer with 6.0 yrs; 9 AI core skills; response rate 0.79
CAND_0059017,4,0.964,AI Research Engineer with 6.8 yrs; 8 AI core skills; response rate 0.75
CAND_0081846,5,0.964,Lead AI Engineer with 6.7 yrs; 12 AI core skills; response rate 0.73
CAND_0009691,6,0.95,Applied ML Engineer with 6.2 yrs; 12 AI core skills; response rate 0.64
CAND_0004402,7,0.9492,AI Research Engineer with 6.0 yrs; 10 AI core skills; response rate 0.83
CAND_0054546,8,0.946,AI Research Engineer with 4.9 yrs; 8 AI core skills; response rate 0.92
CAND_0071939,9,0.946,Data Scientist with 6.4 yrs; 10 AI core skills; response rate 0.67
CAND_0046525,10,0.9452,Senior Machine Learning Engineer with 6.1 yrs; 13 AI core skills; response rate 0.88
CAND_0036184,11,0.9385,Recommendation Systems Engineer with 6.0 yrs; 12 AI core skills; response rate 0.90
CAND_0077337,12,0.9376,Staff Machine Learning Engineer with 7.0 yrs; 12 AI core skills; response rate 0.95
CAND_0033179,13,0.937,AI Research Engineer with 6.9 yrs; 8 AI core skills; response rate 0.84
CAND_0055905,14,0.9353,Senior Machine Learning Engineer with 8.1 yrs; 10 AI core skills; response rate 0.87
CAND_0025335,15,0.9325,Data Scientist with 6.6 yrs; 8 AI core skills; response rate 0.39
CAND_0098780,16,0.9325,AI Research Engineer with 5.9 yrs; 9 AI core skills; response rate 0.57
CAND_0052682,17,0.927,NLP Engineer with 6.6 yrs; 9 AI core skills; response rate 0.88
CAND_0018499,18,0.9258,Senior Machine Learning Engineer with 7.2 yrs; 12 AI core skills; response rate 0.61
CAND_0002025,19,0.9253,Senior AI Engineer with 5.9 yrs; 13 AI core skills; response rate 0.80
CAND_0075249,20,0.9214,Applied ML Engineer with 6.2 yrs; 7 AI core skills; response rate 0.82
CAND_0031752,21,0.921,ML Engineer with 5.0 yrs; 7 AI core skills; response rate 0.82
CAND_0050876,22,0.9206,Applied ML Engineer with 6.0 yrs; 10 AI core skills; response rate 0.67
CAND_0071974,23,0.9204,Senior AI Engineer with 7.8 yrs; 13 AI core skills; response rate 0.76
CAND_0018549,24,0.9201,Recommendation Systems Engineer with 6.8 yrs; 8 AI core skills; response rate 0.73
CAND_0049896,25,0.9193,Search Engineer with 7.3 yrs; 10 AI core skills; response rate 0.43
CAND_0009024,26,0.919,Search Engineer with 5.2 yrs; 11 AI core skills; response rate 0.46
CAND_0021973,27,0.9185,ML Engineer with 5.1 yrs; 8 AI core skills; response rate 0.42
CAND_0029367,28,0.9181,Senior Data Scientist with 5.7 yrs; 15 AI core skills; response rate 0.77
CAND_0066376,29,0.9167,Applied ML Engineer with 5.7 yrs; 11 AI core skills; response rate 0.51
CAND_0026942,30,0.915,Junior ML Engineer with 6.0 yrs; 7 AI core skills; response rate 0.84
CAND_0091909,31,0.9142,Machine Learning Engineer with 6.9 yrs; 12 AI core skills; response rate 0.65
CAND_0098217,32,0.913,ML Engineer with 6.4 yrs; 8 AI core skills; response rate 0.84
CAND_0010149,33,0.9116,ML Engineer with 6.9 yrs; 9 AI core skills; response rate 0.82
CAND_0008425,34,0.9085,Senior NLP Engineer with 7.8 yrs; 12 AI core skills; response rate 0.66
CAND_0046064,35,0.9084,Senior NLP Engineer with 8.9 yrs; 9 AI core skills; response rate 0.78
CAND_0062009,36,0.9065,Junior ML Engineer with 5.9 yrs; 10 AI core skills; response rate 0.44
CAND_0080291,37,0.9057,Junior ML Engineer with 6.5 yrs; 6 AI core skills; response rate 0.85
CAND_0043860,38,0.9054,Junior ML Engineer with 6.1 yrs; 7 AI core skills; response rate 0.81
CAND_0015057,39,0.9052,ML Engineer with 4.6 yrs; 10 AI core skills; response rate 0.85
CAND_0050454,40,0.9051,AI Engineer with 6.8 yrs; 11 AI core skills; response rate 0.77
CAND_0064888,41,0.9044,ML Engineer with 5.8 yrs; 8 AI core skills; response rate 0.92
